"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","genres","language","description","popularity","vote_count","vote_average","budget","revenue"
"44683","Movie","Tinker Bell and the Great Fairy Rescue","Bradley Raymond","Mae Whitman, Lauren Mote, Michael Sheen, Pamela Adlon, Lucy Liu","India, United States of America","2010-07-29","2010","6.7","","Animation, Adventure, Family, Fantasy","en","During a summer stay on the mainland, Tinker Bell is accidentally discovered while investigating a little girl's fairy house. As the other fairies, led by the brash Vidia, launch a daring rescue in the middle of a fierce storm, Tink develops a special bond with the lonely, little girl.","33.522","945","6.7","0","0"
"26022","Movie","My Name Is Khan","Karan Johar","Shah Rukh Khan, Kajol, Arjan Aujla, Jimmy Shergill, Sonya Jehan","China, India, United Arab Emirates, United States of America","2010-02-10","2010","8.0","","Drama, Romance","hi","Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.","31.503","1333","8.0","12000000","42345360"
"49009","Movie","The Way Back","Peter Weir","Ed Harris, Jim Sturgess, Saoirse Ronan, Colin Farrell, Mark Strong","India, United Arab Emirates, United Kingdom, United States of America","2010-11-22","2010","7.0","","Drama, Adventure, History","en","At the dawn of WWII, several men escape from a Russian gulag—to take a perilous and uncertain journey to freedom as they cross deserts, mountains and several nations.","21.501","1607","7.0","30000000","24200000"
"12819","Movie","Alpha and Omega","Anthony Bell, Ben Gluck","Justin Long, Hayden Panettiere, Dennis Hopper, Danny Glover, Larry Miller","India, United States of America","2010-09-16","2010","5.9","","Animation, Family, Comedy, Adventure, Romance","en","Two young wolves at opposite ends of their pack's social order are thrown together into a foreign land and need each other to return home, but love complicates everything.","13.599","512","5.9","20000000","50507267"
"148284","Movie","Enthiran","Shankar","Rajinikanth, Aishwarya Rai Bachchan, Danny Denzongpa, Santhanam, Karunas","India","2010-10-01","2010","6.6","","Action, Science Fiction","ta","Dr. Vaseegaran creates Chitti, a powerful robot in his own image, but it is rejected by the scientific body AIRD due to its lack of human behaviour and emotions. After a lightning strike triggers emotions in Chitti, he begins to develop human-like feelings. However, Chitti falls in love with Dr. Vaseegaran's fiancée, Sana, and turns against his creator, leading to dangerous consequences.","11.482","222","6.6","26400000","62000000"
"46528","Movie","The Warrior's Way","Lee Seung-moo","Jang Dong-gun, Kate Bosworth, Geoffrey Rush, Danny Huston, Ti Lung","India, New Zealand, South Korea, United States of America","2010-12-01","2010","6.6","","Adventure, Fantasy, Action, Western, Thriller","en","A warrior-assassin is forced to hide in a small town in the American Badlands after refusing a mission.","10.893","622","6.6","42000000","11100000"
"37737","Movie","Kites","Anurag Basu","Hrithik Roshan, Bárbara Mori, Kabir Bedi, Kangana Ranaut, Nicholas Brown","India","2010-05-21","2010","7.2","","Drama, Action, Romance","hi","A wounded man searches for his sweetheart in the Mexican desert while on the run from the police, bounty hunters, and others.","9.363","215","7.2","0","0"
"34764","Movie","Karthik Calling Karthik","Vijay Lalwani","Farhan Akhtar, Deepika Padukone, Ram Kapoor, Vivan Bhatena, Vipin Sharma","India","2010-02-26","2010","6.2","","Romance, Thriller","hi","A much abused loner achieves success, and even wins the heart of his gorgeous co-worker, after getting early morning mysterious phone calls from someone.","9.029","92","6.2","2800000","3900000"
"44638","Movie","The Tempest","Julie Taymor","Helen Mirren, Felicity Jones, Reeve Carney, David Strathairn, Tom Conti","India, United Kingdom, United States of America","2010-09-11","2010","5.4","","Drama, Fantasy, Comedy","en","An adaptation of the play by William Shakespeare. Prospera (a female version of Shakespeare's Prospero) is the usurped ruler of Milan who has been banished to a mysterious island with her daughter. Using her magical powers, she draws her enemies to the island to exact her revenge.","8.891","119","5.4","20000000","346594"
"44425","Movie","Dabangg","Abhinav Kashyap","Salman Khan, Sonakshi Sinha, Arbaaz Khan, Sonu Sood, Vinod Khanna","India","2010-09-10","2010","5.8","","Action, Comedy, Crime","hi","A troubled relationship with his younger half-brother and stepfather compels Chulbul Pandey to become a corrupt but fearless cop whose life changes when he locks horns with a corrupt political leader.","8.26","164","5.8","9370000","0"
