"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","genres","language","description","popularity","vote_count","vote_average","budget","revenue"
"148284","Movie","Enthiran","Shankar","Rajinikanth, Aishwarya Rai Bachchan, Danny Denzongpa, Santhanam, Karunas","India","2010-10-01","2010","6.6","","Action, Science Fiction","ta","Dr. Vaseegaran creates Chitti, a powerful robot in his own image, but it is rejected by the scientific body AIRD due to its lack of human behaviour and emotions. After a lightning strike triggers emotions in Chitti, he begins to develop human-like feelings. However, Chitti falls in love with Dr. Vaseegaran's fiancée, Sana, and turns against his creator, leading to dangerous consequences.","11.482","222","6.6","26400000","62000000"
"54456","Movie","Raavanan","Mani Ratnam","Vikram, Aishwarya Rai Bachchan, Prithviraj Sukumaran, Karthik Muthuraman, Prabhu","India","2010-06-18","2010","7.0","","Action, Adventure, Crime","ta","After inspector Dev stirs the reign of Veeraiya, a tribal outlaw, the latter responds by kidnapping his wife, Ragini. While she tries to escape from him, Dev fights many resistances to find her.","7.026","43","7.0","5200000","9700000"
"63414","Movie","Darling","A. Karunakaran","Prabhas, Kajal Agarwal, Prabhu, Tulasi, Ahuti Prasad","India","2010-04-23","2010","6.3","","Drama, Romance","te","Prabha prepares to meet Nandini, his childhood friend, at a reunion party organised by his father. However, things take a turn when Nisha, a gangster's daughter, falls in love with him.","6.877","28","6.3","0","0"
"62756","Movie","Singam","Hari","Suriya, Anushka Shetty, Prakash Raj, Nassar, Vivek","India","2010-05-28","2010","6.701","","Action, Comedy, Crime","ta","The story, set in the backdrop of Nallore, a small town in Thoothukudi District, revolves around Sub-Inspector Durai Singam, a brave and just policeman who serves in his hometown primarily to fulfill his father’s wish. Durai Singam settles every dispute in his town patiently with his words of wisdom and resorts to force only when the situation demands it. Kavya, a city girl who comes on vacation to Nallore, falls in love with Durai Singam. Erimalai, Durai Singam's bumbling colleague and friend, often accompanies him.","5.967","67","6.701","2200000","9700000"
"69597","Movie","Aayirathil Oruvan","Selvaraghavan","Karthi, R. Parthiban, Reema Sen, Andrea Jeremiah, Prathap Pothan","India","2010-01-14","2010","6.552","","Action, Adventure","ta","Anitha, a government official, embarks on a journey to find Chandramouli, an archaeologist, who went to Vietnam to search for any existence of the prince of the Chola dynasty.","5.686","48","6.552","7500000","20000000"
"37941","Movie","Vinnaithaandi Varuvaayaa","Gautham Vasudev Menon","Silambarasan, Trisha Krishnan, VTV Ganesh, Babu Antony, Lakshmi Ramakrishnan","India","2010-02-26","2010","7.6","","Drama, Romance","ta","A young, aspiring filmmaker falls in love with a girl who moves into the house above his, but her sophisticated nature does more harm than good to him.","4.676","56","7.6","3000000","12000000"
"63430","Movie","Ye Maaya Chesave","Gautham Vasudev Menon","Naga Chaitanya Akkineni, Samantha Ruth Prabhu, Krishnudu, Sapan Saran, Sanjay Swaroop","India","2010-02-26","2010","6.8","","Romance, Drama","te","An aspiring Hindu director falls in love with a Christian girl whose parents disapprove of their impending relationship.","4.629","20","6.8","1700000","2800000"
"83154","Movie","Nagavalli","P. Vasu","Venkatesh, Richa Gangopadhyay, Anushka Shetty, Poonam Kaur, Kamalinee Mukherjee","India","2010-12-16","2010","5.8","","Action, Fantasy, Thriller, Drama","te","After a family member receives a Nagavalli/Chandramukhi's portrait as a prize in the Nagavalli Dance competition, various characters start having abnormal experiences. In order to save themselves and unfold the mystery, the family looks to Ramachandra Acharya and Dr. Vijay.","4.451","11","5.8","0","0"
"63448","Movie","Siruthai","Siva","Karthi, Tamannaah Bhatia, Santhanam, Bhumika Chawla, Manobala","India","2011-01-14","2011","5.8","","Action, Comedy, Drama, Thriller","ta","A thief comes across a little girl who says that he's her father. When he learns the truth about his lookalike, who's an honest cop, he decides to turn a new leaf and help get rid of the local baddie.","9.015","26","5.8","0","6660000"
"200297","Movie","Rajanna","Vijayendra Prasad","Annie, Nagarjuna Akkineni, Sneha, Nassar, Shweta Menon","India","2011-11-12","2011","4.0","","Drama","te","The film is set in the Nelakondapalli village of khammam district in Nizam Princely State of Hyderabad of the late 1940s. The feudal society is under the vice-like grip of an aristocratic family and its head, a Dorasani (Shwetha Menon). Mallamma (Baby Annie) is the darling of the village, who is living in perpetual humiliation. They seek solace in her songs. Brought up by Sambayya, an old man, she develops a mysterious attachment to a basil tree which is regarded as holy by the entire village.","6.964","2","4.0","0","0"
